,ds,y,location
11681,2022-07-01,16485,인천터미널
11683,2022-07-02,15363,인천터미널
11685,2022-07-03,11677,인천터미널
11687,2022-07-04,13502,인천터미널
11689,2022-07-05,13853,인천터미널
11691,2022-07-06,13903,인천터미널
11693,2022-07-07,13269,인천터미널
11695,2022-07-08,16075,인천터미널
11697,2022-07-09,15189,인천터미널
11699,2022-07-10,11947,인천터미널
11701,2022-07-11,12267,인천터미널
11703,2022-07-12,13951,인천터미널
11705,2022-07-13,11407,인천터미널
11707,2022-07-14,14097,인천터미널
11709,2022-07-15,16153,인천터미널
11711,2022-07-16,14581,인천터미널
11713,2022-07-17,11418,인천터미널
11715,2022-07-18,12939,인천터미널
11717,2022-07-19,13456,인천터미널
11719,2022-07-20,13446,인천터미널
11721,2022-07-21,13166,인천터미널
11723,2022-07-22,15521,인천터미널
11725,2022-07-23,13559,인천터미널
11727,2022-07-24,10536,인천터미널
11729,2022-07-25,13109,인천터미널
11731,2022-07-26,13241,인천터미널
11733,2022-07-27,13442,인천터미널
11735,2022-07-28,13700,인천터미널
11737,2022-07-29,15533,인천터미널
11739,2022-07-30,13490,인천터미널
11741,2022-07-31,9770,인천터미널
11743,2022-08-01,12402,인천터미널
11745,2022-08-02,11550,인천터미널
11747,2022-08-03,12415,인천터미널
11749,2022-08-04,12798,인천터미널
11751,2022-08-05,14671,인천터미널
11753,2022-08-06,13295,인천터미널
11755,2022-08-07,10631,인천터미널
11757,2022-08-08,11108,인천터미널
11759,2022-08-09,10296,인천터미널
11761,2022-08-10,12658,인천터미널
11763,2022-08-11,12475,인천터미널
11765,2022-08-12,15710,인천터미널
11767,2022-08-13,13197,인천터미널
11769,2022-08-14,10923,인천터미널
11771,2022-08-15,9719,인천터미널
11773,2022-08-16,12926,인천터미널
11775,2022-08-17,13448,인천터미널
11777,2022-08-18,13385,인천터미널
11779,2022-08-19,14461,인천터미널
11781,2022-08-20,13602,인천터미널
11783,2022-08-21,10642,인천터미널
11785,2022-08-22,11551,인천터미널
11787,2022-08-23,13022,인천터미널
11789,2022-08-24,13129,인천터미널
11791,2022-08-25,12882,인천터미널
11793,2022-08-26,16085,인천터미널
11795,2022-08-27,15817,인천터미널
11797,2022-08-28,12285,인천터미널
11799,2022-08-29,13476,인천터미널
11801,2022-08-30,12268,인천터미널
11803,2022-08-31,14045,인천터미널
11805,2022-09-01,14274,인천터미널
11807,2022-09-02,16507,인천터미널
11809,2022-09-03,15366,인천터미널
11811,2022-09-04,10452,인천터미널
11813,2022-09-05,11576,인천터미널
11815,2022-09-06,12323,인천터미널
11817,2022-09-07,14867,인천터미널
11819,2022-09-08,19965,인천터미널
11821,2022-09-09,13207,인천터미널
11823,2022-09-10,7600,인천터미널
11825,2022-09-11,11884,인천터미널
11827,2022-09-12,12586,인천터미널
11829,2022-09-13,13826,인천터미널
11831,2022-09-14,13347,인천터미널
11833,2022-09-15,13861,인천터미널
11835,2022-09-16,15579,인천터미널
11837,2022-09-17,15179,인천터미널
11839,2022-09-18,12054,인천터미널
11841,2022-09-19,13799,인천터미널
11843,2022-09-20,13946,인천터미널
11845,2022-09-21,14018,인천터미널
11847,2022-09-22,14245,인천터미널
11849,2022-09-23,16468,인천터미널
11851,2022-09-24,15551,인천터미널
11853,2022-09-25,12974,인천터미널
11855,2022-09-26,14100,인천터미널
11857,2022-09-27,13980,인천터미널
11859,2022-09-28,14048,인천터미널
11861,2022-09-29,14141,인천터미널
11863,2022-09-30,17093,인천터미널
11865,2022-10-01,16358,인천터미널
11867,2022-10-02,12043,인천터미널
11869,2022-10-03,10409,인천터미널
11871,2022-10-04,13826,인천터미널
11873,2022-10-05,13959,인천터미널
11875,2022-10-06,14065,인천터미널
11877,2022-10-07,17411,인천터미널
11879,2022-10-08,16569,인천터미널
11881,2022-10-09,11195,인천터미널
11883,2022-10-10,11803,인천터미널
11885,2022-10-11,14134,인천터미널
11887,2022-10-12,14013,인천터미널
11889,2022-10-13,14176,인천터미널
11891,2022-10-14,16237,인천터미널
11893,2022-10-15,15892,인천터미널
11895,2022-10-16,11711,인천터미널
11897,2022-10-17,12916,인천터미널
11899,2022-10-18,13947,인천터미널
11901,2022-10-19,13981,인천터미널
11903,2022-10-20,14208,인천터미널
11905,2022-10-21,16841,인천터미널
11907,2022-10-22,15715,인천터미널
11909,2022-10-23,12255,인천터미널
11911,2022-10-24,13828,인천터미널
11913,2022-10-25,13799,인천터미널
11915,2022-10-26,14012,인천터미널
11917,2022-10-27,14289,인천터미널
11919,2022-10-28,16905,인천터미널
11921,2022-10-29,15474,인천터미널
11923,2022-10-30,11939,인천터미널
11925,2022-10-31,14179,인천터미널
11927,2022-11-01,13817,인천터미널
11929,2022-11-02,13948,인천터미널
11931,2022-11-03,13709,인천터미널
11933,2022-11-04,16594,인천터미널
11935,2022-11-05,15358,인천터미널
11937,2022-11-06,12190,인천터미널
11939,2022-11-07,13603,인천터미널
11941,2022-11-08,14353,인천터미널
11943,2022-11-09,13894,인천터미널
11945,2022-11-10,14191,인천터미널
11947,2022-11-11,16856,인천터미널
11949,2022-11-12,14728,인천터미널
11951,2022-11-13,12180,인천터미널
11953,2022-11-14,13429,인천터미널
11955,2022-11-15,13080,인천터미널
11957,2022-11-16,13732,인천터미널
11959,2022-11-17,14050,인천터미널
11961,2022-11-18,16688,인천터미널
11963,2022-11-19,15349,인천터미널
11965,2022-11-20,12088,인천터미널
11967,2022-11-21,13722,인천터미널
11969,2022-11-22,13152,인천터미널
11971,2022-11-23,13429,인천터미널
11973,2022-11-24,13807,인천터미널
11975,2022-11-25,16440,인천터미널
11977,2022-11-26,14993,인천터미널
11979,2022-11-27,11909,인천터미널
11981,2022-11-28,12889,인천터미널
11983,2022-11-29,13008,인천터미널
11985,2022-11-30,12863,인천터미널
11987,2022-12-01,13088,인천터미널
11989,2022-12-02,16069,인천터미널
11991,2022-12-03,14621,인천터미널
11993,2022-12-04,11496,인천터미널
11995,2022-12-05,13235,인천터미널
11997,2022-12-06,12954,인천터미널
11999,2022-12-07,13287,인천터미널
12001,2022-12-08,13516,인천터미널
12003,2022-12-09,16022,인천터미널
12005,2022-12-10,15545,인천터미널
12007,2022-12-11,11855,인천터미널
12009,2022-12-12,13037,인천터미널
12011,2022-12-13,13446,인천터미널
12013,2022-12-14,13062,인천터미널
12015,2022-12-15,14003,인천터미널
12017,2022-12-16,16489,인천터미널
12019,2022-12-17,17263,인천터미널
12021,2022-12-18,11654,인천터미널
12023,2022-12-19,13296,인천터미널
12025,2022-12-20,13749,인천터미널
12027,2022-12-21,14640,인천터미널
12029,2022-12-22,13935,인천터미널
12031,2022-12-23,15415,인천터미널
12033,2022-12-24,14681,인천터미널
12035,2022-12-25,12955,인천터미널
12037,2022-12-26,13403,인천터미널
12039,2022-12-27,13601,인천터미널
12041,2022-12-28,13892,인천터미널
12043,2022-12-29,14151,인천터미널
12045,2022-12-30,16683,인천터미널
12047,2022-12-31,13796,인천터미널
12049,2023-01-01,8797,인천터미널
12051,2023-01-02,12484,인천터미널
12053,2023-01-03,12551,인천터미널
12055,2023-01-04,13107,인천터미널
12057,2023-01-05,13037,인천터미널
12059,2023-01-06,15036,인천터미널
12061,2023-01-07,14136,인천터미널
12063,2023-01-08,11202,인천터미널
12065,2023-01-09,12829,인천터미널
12067,2023-01-10,13207,인천터미널
12069,2023-01-11,13227,인천터미널
12071,2023-01-12,13379,인천터미널
12073,2023-01-13,14465,인천터미널
12075,2023-01-14,13925,인천터미널
12077,2023-01-15,10724,인천터미널
12079,2023-01-16,13139,인천터미널
12081,2023-01-17,13100,인천터미널
12083,2023-01-18,13529,인천터미널
12085,2023-01-19,14314,인천터미널
12087,2023-01-20,18302,인천터미널
12089,2023-01-21,11786,인천터미널
12091,2023-01-22,7056,인천터미널
12093,2023-01-23,10970,인천터미널
12095,2023-01-24,9100,인천터미널
12097,2023-01-25,12102,인천터미널
12099,2023-01-26,13876,인천터미널
12101,2023-01-27,14863,인천터미널
12103,2023-01-28,13460,인천터미널
12105,2023-01-29,10615,인천터미널
12107,2023-01-30,13163,인천터미널
12109,2023-01-31,12955,인천터미널
12111,2023-02-01,12999,인천터미널
12113,2023-02-02,13013,인천터미널
12115,2023-02-03,15217,인천터미널
12117,2023-02-04,13877,인천터미널
12119,2023-02-05,10712,인천터미널
12121,2023-02-06,12634,인천터미널
12123,2023-02-07,13116,인천터미널
12125,2023-02-08,13247,인천터미널
12127,2023-02-09,13123,인천터미널
12129,2023-02-10,15633,인천터미널
12131,2023-02-11,14890,인천터미널
12133,2023-02-12,11497,인천터미널
12135,2023-02-13,13137,인천터미널
12137,2023-02-14,13530,인천터미널
12139,2023-02-15,13380,인천터미널
12141,2023-02-16,13523,인천터미널
12143,2023-02-17,16196,인천터미널
12145,2023-02-18,14808,인천터미널
12147,2023-02-19,11319,인천터미널
12149,2023-02-20,12751,인천터미널
12151,2023-02-21,13232,인천터미널
12153,2023-02-22,13291,인천터미널
12155,2023-02-23,13519,인천터미널
12157,2023-02-24,15716,인천터미널
12159,2023-02-25,14939,인천터미널
12161,2023-02-26,11455,인천터미널
12163,2023-02-27,13243,인천터미널
12165,2023-02-28,14424,인천터미널
12167,2023-03-01,11037,인천터미널
12169,2023-03-02,13309,인천터미널
12171,2023-03-03,15423,인천터미널
12173,2023-03-04,14266,인천터미널
12175,2023-03-05,11293,인천터미널
12177,2023-03-06,13042,인천터미널
12179,2023-03-07,13493,인천터미널
12181,2023-03-08,13109,인천터미널
12183,2023-03-09,13542,인천터미널
12185,2023-03-10,16336,인천터미널
12187,2023-03-11,14922,인천터미널
12189,2023-03-12,10677,인천터미널
12191,2023-03-13,13632,인천터미널
12193,2023-03-14,13357,인천터미널
12195,2023-03-15,13415,인천터미널
12197,2023-03-16,13696,인천터미널
12199,2023-03-17,16178,인천터미널
12201,2023-03-18,14857,인천터미널
12203,2023-03-19,11710,인천터미널
12205,2023-03-20,13516,인천터미널
12207,2023-03-21,13346,인천터미널
12209,2023-03-22,13442,인천터미널
12211,2023-03-23,13583,인천터미널
12213,2023-03-24,16565,인천터미널
12215,2023-03-25,14955,인천터미널
12217,2023-03-26,12488,인천터미널
12219,2023-03-27,13955,인천터미널
12221,2023-03-28,13540,인천터미널
12223,2023-03-29,13517,인천터미널
12225,2023-03-30,13910,인천터미널
12227,2023-03-31,16549,인천터미널
12229,2023-04-01,15937,인천터미널
12231,2023-04-02,12470,인천터미널
12233,2023-04-03,13823,인천터미널
12235,2023-04-04,12932,인천터미널
12237,2023-04-05,11966,인천터미널
12239,2023-04-06,13179,인천터미널
12241,2023-04-07,16207,인천터미널
12243,2023-04-08,15062,인천터미널
12245,2023-04-09,11709,인천터미널
12247,2023-04-10,13966,인천터미널
12249,2023-04-11,12374,인천터미널
12251,2023-04-12,13464,인천터미널
12253,2023-04-13,13438,인천터미널
12255,2023-04-14,16107,인천터미널
12257,2023-04-15,14303,인천터미널
12259,2023-04-16,11301,인천터미널
12261,2023-04-17,12564,인천터미널
12263,2023-04-18,12805,인천터미널
12265,2023-04-19,14167,인천터미널
12267,2023-04-20,13504,인천터미널
12269,2023-04-21,16325,인천터미널
12271,2023-04-22,14980,인천터미널
12273,2023-04-23,11492,인천터미널
12275,2023-04-24,13689,인천터미널
12277,2023-04-25,12916,인천터미널
12279,2023-04-26,13582,인천터미널
12281,2023-04-27,14133,인천터미널
12283,2023-04-28,17429,인천터미널
12285,2023-04-29,14813,인천터미널
12287,2023-04-30,12909,인천터미널
12289,2023-05-01,13590,인천터미널
12291,2023-05-02,14349,인천터미널
12293,2023-05-03,14420,인천터미널
12295,2023-05-04,17390,인천터미널
12297,2023-05-05,11980,인천터미널
12299,2023-05-06,12437,인천터미널
12301,2023-05-07,12348,인천터미널
12303,2023-05-08,14766,인천터미널
12305,2023-05-09,13912,인천터미널
12307,2023-05-10,14022,인천터미널
12309,2023-05-11,14183,인천터미널
12311,2023-05-12,16725,인천터미널
12313,2023-05-13,16383,인천터미널
12315,2023-05-14,13006,인천터미널
12317,2023-05-15,14328,인천터미널
12319,2023-05-16,13746,인천터미널
12321,2023-05-17,13967,인천터미널
12323,2023-05-18,13626,인천터미널
12325,2023-05-19,16139,인천터미널
12327,2023-05-20,15333,인천터미널
12329,2023-05-21,11610,인천터미널
12331,2023-05-22,13817,인천터미널
12333,2023-05-23,14111,인천터미널
12335,2023-05-24,13792,인천터미널
12337,2023-05-25,14603,인천터미널
12339,2023-05-26,17444,인천터미널
12341,2023-05-27,13142,인천터미널
12343,2023-05-28,10126,인천터미널
12345,2023-05-29,12485,인천터미널
12347,2023-05-30,13892,인천터미널
12349,2023-05-31,13660,인천터미널
12351,2023-06-01,13727,인천터미널
12353,2023-06-02,16382,인천터미널
12355,2023-06-03,15607,인천터미널
12357,2023-06-04,11850,인천터미널
12359,2023-06-05,14431,인천터미널
12361,2023-06-06,10767,인천터미널
12363,2023-06-07,13211,인천터미널
12365,2023-06-08,13110,인천터미널
12367,2023-06-09,15537,인천터미널
12369,2023-06-10,13962,인천터미널
12371,2023-06-11,11244,인천터미널
12373,2023-06-12,12563,인천터미널
12375,2023-06-13,13658,인천터미널
12377,2023-06-14,13735,인천터미널
12379,2023-06-15,13771,인천터미널
12381,2023-06-16,16394,인천터미널
12383,2023-06-17,15616,인천터미널
12385,2023-06-18,11820,인천터미널
12387,2023-06-19,13442,인천터미널
12389,2023-06-20,13103,인천터미널
12391,2023-06-21,13032,인천터미널
12393,2023-06-22,13922,인천터미널
12395,2023-06-23,16219,인천터미널
12397,2023-06-24,15322,인천터미널
12399,2023-06-25,11573,인천터미널
12401,2023-06-26,12270,인천터미널
12403,2023-06-27,13527,인천터미널
12405,2023-06-28,13611,인천터미널
12407,2023-06-29,11486,인천터미널
12409,2023-06-30,15370,인천터미널
